ID,AMBITO_NOMBRE,EMBALSE_NOMBRE,AGUA_TOTAL,ELECTRICO_FLAG,CODIGO,NOMBRE,EMBALSE,X,Y,DEMARC,PROVINCIA,CCAA,TIPO,INFORME
,,,,,3280063,picadas,picadas reservoir,40.3333175330001,-4.24917123099993,tajo,madrid,comunidad de madrid,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=840
398.0,ebro,vadiello,16.0,0.0,9220071,vadiello,vadiello,42.2412072050001,-0.278563394999935,ebro,huesca,aragón,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2486
734.0,júcar,amadorio,16.0,0.0,8030027,amadorio,amadorio,38.5337220420001,-0.264786822999952,jucar,alacant/alicante,comunitat valenciana,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2183
48.0,ebro,cavallers,16.0,1.0,9250049,cavallers,cavallers,42.58555584,0.854115437000075,ebro,lleida,cataluña,presa de fábrica de contrafuertes,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2593
296.0,guadiana,piedra aguda,16.0,0.0,4060031,piedra aguda,piedra aguda,38.68712586,-7.02207805699993,guadiana,badajoz,extremadura,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=958
440.0,ebro,llauset,17.0,1.0,9220059,llauset,llauset,42.5809309520001,0.694450386000028,ebro,huesca,aragón,presa de fábrica de bóveda,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2474
74.0,miño - sil,velle,17.0,1.0,1320037,velle,velle,42.357859342,-7.85142526699997,miño-sil,ourense,galicia,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=122
,,,,,9220091,respomuso,respomuso reservoir,42.8156272250001,-0.297330793999947,ebro,huesca,aragón,presa de fábrica de contrafuertes,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2505
741.0,ebro,pena,19.0,0.0,9440011,pena,pena,40.8194375680001,0.134230182000067,ebro,teruel,aragón,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2804
523.0,tinto. odiel y piedras,corumbel bajo,19.0,0.0,4210081,corumbel bajo,corumbel bajo,37.449084574,-6.57274195299993,"tinto, odiel y piedras",huelva,andalucía,presa de materiales sueltos de pantalla de hormigón,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1285
,,,,,3450015,guajaraz,guajaraz reservoir,39.7999260600001,-4.08754612399997,tajo,toledo,castilla - la mancha,presa de materiales sueltos de pantalla asfáltica,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=871
,,,,,14150011,vilagudin,vilagudin,43.0945645850001,-8.49268471099998,galicia-costa,a coruña,galicia,presa de materiales sueltos de pantalla de hormigón,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=3090
,,,,,8120005,maria cristina,maria cristina reservoir,40.0282904270001,-0.163969956999949,jucar,castelló/castellón,comunitat valenciana,presa de fábrica de mampostería,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2261
,,,,,1320011,peñarrubia,peñarrubia reservoir,42.4564492920001,-6.81942030899995,miño-sil,ourense,galicia,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=96
,,,,,5140037,bembezar,bembézar reservoir,37.8247225110001,-5.23720810199995,guadalquivir,córdoba,andalucía,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1459
,,,,,9430006,ciurana,siurana reservoir,41.2495806650001,0.913874355000075,ebro,tarragona,cataluña,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2772
,,,,,8030092,guadalest,guadalest reservoir,38.679938329,-0.19178029699998,jucar,alacant/alicante,comunitat valenciana,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2243
,,,,,9220090,santa maria belsue,santa maria belsue,42.30237966,-0.347295588999941,ebro,huesca,aragón,presa de fábrica de mampostería,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2504
,,,,,5130007,"fresneda, la","fresneda, la",38.558512121,-3.62973097799994,guadalquivir,ciudad real,castilla - la mancha,presa de fábrica de arco-gravedad,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1420
